Date,Open,High,Low,Close,Adj Close,Volume
11/18/2019,59.419998,59.540001,59.299999,59.419998,59.419998,1861300
11/19/2019,59.66,59.68,58.689999,58.73,58.73,2826500
11/20/2019,58.43,58.959999,58.25,58.439999,58.439999,3864500
11/21/2019,58.560001,58.75,58.330002,58.669998,58.669998,6554400
11/22/2019,58.939999,59.07,58.360001,58.439999,58.439999,5777200
11/25/2019,58.869999,58.889999,58.52,58.639999,58.639999,5367000
11/26/2019,58.400002,58.43,57.860001,57.970001,57.970001,2683200
11/27/2019,58,58.02,57.619999,57.799999,57.799999,2221700
11/29/2019,57.470001,57.57,57.279999,57.490002,57.490002,1478400
12/2/2019,57.630001,57.66,57.060001,57.130001,57.130001,3257300
12/3/2019,56.450001,56.52,56.029999,56.209999,56.209999,3525400
12/4/2019,56.82,56.959999,56.68,56.84,56.84,2856800
12/5/2019,56.990002,57.049999,56.459999,56.490002,56.490002,2321900
12/6/2019,57.080002,57.529999,57.060001,57.290001,57.290001,2769400
12/9/2019,57.369999,57.59,57.23,57.27,57.27,1940700
12/10/2019,57.5,57.59,57.25,57.360001,57.360001,2066400
12/11/2019,57.330002,57.540001,57.18,57.400002,57.400002,2044600
12/12/2019,57.369999,57.950001,57.32,57.759998,57.759998,2602100
12/13/2019,58.099998,58.330002,57.34,57.439999,57.439999,4001800
12/16/2019,58.380001,58.509998,58.060001,58.16,58.16,2794300
12/17/2019,58.639999,58.779999,58.369999,58.470001,58.470001,4058200
12/18/2019,58.689999,58.880001,58.5,58.52,58.52,3437200
12/19/2019,59.049999,59.119999,58.75,58.900002,58.900002,3162700
12/20/2019,58.5,58.549999,58.02,58.18,58.18,4835700
12/23/2019,58.130001,58.799999,58.099998,58.799999,58.799999,2031300
12/24/2019,58.610001,58.869999,58.610001,58.700001,58.700001,1128100
12/26/2019,58.849998,59.07,58.84,58.869999,58.869999,1229000
12/27/2019,59.5,59.529999,59.040001,59.09,59.09,2486800
12/30/2019,59.119999,59.18,58.650002,58.68,58.68,2425900
12/31/2019,58.740002,58.98,58.560001,58.98,58.98,1864200
1/2/2020,59.459999,59.77,59.240002,59.740002,59.740002,3084700
1/3/2020,59.880001,60.349998,59.880001,60.209999,60.209999,3713000
1/6/2020,60.959999,61.169998,60.689999,60.959999,60.959999,3250100
1/7/2020,60.349998,60.43,59.830002,60.400002,60.400002,2683500
1/8/2020,59.810001,59.93,59.400002,59.689999,59.689999,2965800
1/9/2020,59.450001,59.75,59.009998,59.68,59.68,2834300
1/10/2020,59.330002,59.345001,58.990002,59.009998,59.009998,2622597
